jam_belajar_per_hari,persen_kehadiran,bimbel,nilai_tka
7,91,ya,91
4,80,tidak,65
8,100,tidak,92
5,85,tidak,68
7,85,tidak,89
10,70,tidak,87
3,78,tidak,52
7,97,tidak,93
8,96,tidak,94
5,75,tidak,72
4,85,tidak,62
8,98,tidak,94
8,72,ya,79
3,89,ya,73
6,97,ya,88
5,96,tidak,66
2,73,ya,62
8,88,ya,85
6,95,tidak,68
2,72,ya,58
5,100,tidak,78
1,88,ya,64
10,89,ya,100
6,76,tidak,75
9,89,ya,100
1,78,ya,53
10,70,tidak,85
3,77,tidak,52
7,76,ya,84
4,87,tidak,58
9,77,ya,95
3,70,ya,60
5,80,tidak,66
3,97,tidak,65
7,94,tidak,70
5,94,tidak,67
9,87,tidak,88
7,92,tidak,81
2,100,ya,71
4,99,tidak,71
9,79,ya,100
2,72,ya,58
10,76,ya,96
9,97,ya,96
10,85,tidak,86
5,95,tidak,75
2,85,tidak,58
4,94,ya,85
7,89,ya,85
8,97,ya,97
3,86,ya,69
1,71,tidak,51
4,70,tidak,56
2,85,tidak,60
8,99,ya,100
4,81,tidak,66
2,74,tidak,52
6,74,tidak,68
6,96,tidak,73
10,92,ya,100
4,78,ya,76
6,78,ya,83
2,72,tidak,44
10,88,ya,100
2,85,ya,54
10,85,ya,100
4,72,ya,70
8,89,tidak,84
7,93,tidak,83
9,91,ya,90
8,93,ya,94
5,70,ya,77
2,93,ya,71
5,89,ya,81
8,80,ya,90
10,86,ya,100
9,77,tidak,82
9,73,tidak,73
1,75,ya,52
9,77,ya,96
7,89,tidak,85
9,99,tidak,87
8,72,tidak,75
1,85,tidak,47
8,99,ya,94
8,94,ya,99
3,72,tidak,55
1,94,ya,61
8,98,tidak,99
3,87,tidak,57
3,83,tidak,54
1,87,ya,56
5,71,tidak,56
10,91,ya,100
7,72,tidak,64
10,85,tidak,92
9,98,ya,100
7,78,tidak,63
9,73,tidak,81
8,70,ya,85
2,73,ya,59
1,70,ya,56
7,83,ya,91
7,90,ya,87
8,85,tidak,79
5,89,ya,82
3,93,ya,69
8,77,tidak,72
6,76,ya,90
3,72,tidak,49
1,86,ya,55
3,70,ya,49
5,85,tidak,72
3,81,tidak,51
1,96,tidak,53
5,88,tidak,74
10,91,tidak,91
7,92,ya,91
7,91,ya,98
9,83,tidak,74
10,99,tidak,95
10,75,tidak,83
3,75,ya,62
7,82,ya,86
1,88,tidak,44
4,91,ya,72
4,77,tidak,55
5,96,tidak,71
7,96,ya,94
7,71,tidak,75
4,90,tidak,70
7,99,ya,98
3,70,tidak,46
6,97,tidak,78
2,84,tidak,64
10,70,ya,100
9,74,tidak,80
5,97,ya,91
6,98,ya,87
4,85,tidak,59
10,88,ya,100
7,73,ya,75
9,72,tidak,71
7,86,tidak,83
1,86,tidak,48
1,81,tidak,46
9,97,ya,100
9,99,ya,100
4,98,ya,77
9,83,tidak,83
3,90,tidak,58
7,75,tidak,70
6,72,tidak,62
8,97,ya,96
9,78,ya,81
5,74,ya,75
1,93,tidak,53
3,98,ya,74
10,86,tidak,94
8,83,ya,93
6,90,ya,81
8,100,ya,97
9,72,tidak,84
4,97,tidak,70
1,70,ya,60
1,89,ya,68
10,100,tidak,100
4,98,ya,75
7,90,tidak,77
2,92,tidak,51
3,70,ya,61
1,72,ya,37
5,87,tidak,66
1,94,ya,60
8,79,ya,82
1,100,tidak,59
1,91,tidak,45
2,95,tidak,59
2,72,tidak,60
6,77,ya,70
7,83,ya,86
5,93,tidak,69
1,87,tidak,45
1,84,ya,61
3,91,tidak,66
2,92,ya,70
5,71,ya,67
10,100,ya,100
6,96,ya,79
7,79,ya,79
4,71,ya,66
7,95,ya,93
8,86,tidak,85
1,77,tidak,51
6,70,tidak,64
8,78,tidak,80
5,80,ya,72
4,91,ya,78
2,85,tidak,51
6,76,ya,76
